TournamentID,Name,StartDate,EndDate,IsOver,IsInProgress,Canceled,Covered,Format,SportRadarTournamentID,Venue,Location,Par,Yards,City,State,Country,TimeZone,Purse,StartDateTime,ZipCode
6,The RSM Classic,2015-11-19T00:00:00,2015-11-22T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Sea Island Resort (Seaside),"Sea Island, GA",70,7005,NA,NA,NA,NA,5700000,NA,NA
56,OHL Classic at Mayakoba,2015-11-12T00:00:00,2015-11-16T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,El Camaleon GC,"Riviera Maya, Mexico",71,6987,NA,NA,NA,NA,6200000,NA,NA
53,Sanderson Farms Championship,2015-11-05T00:00:00,2015-11-09T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,CC of Jackson,"Jackson, MS",72,7364,NA,NA,NA,NA,4100000,NA,NA
55,World Golf Championships-HSBC Champions,2015-11-05T00:00:00,2015-11-08T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Sheshan International GC,"Shanghai, China",72,7261,NA,NA,NA,NA,8500000,NA,NA
5,CIMB Classic,2015-10-29T00:00:00,2015-11-01T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Kuala Lumpur Golf and Country Club,"Kuala Lumpur, Malaysia",72,6985,NA,NA,NA,NA,7000000,NA,NA
54,Shriners Hospitals for Children Open,2015-10-22T00:00:00,2015-10-25T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC Summerlin,"Las Vegas, NV",71,7255,NA,NA,NA,NA,6400000,NA,NA
57,Frys.com Open,2015-10-15T00:00:00,2015-10-18T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Silverado CC (North),"Napa, CA",72,7203,NA,NA,NA,NA,6000000,NA,NA
38,TOUR Championship by Coca-Cola,2015-09-24T00:00:00,2015-09-27T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,East Lake GC,"Atlanta, GA",70,7307,NA,NA,NA,NA,8250000,NA,NA
29,BMW Championship,2015-09-17T00:00:00,2015-09-20T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Conway Farms GC,"Lake Forest, IL",71,7198,NA,NA,NA,NA,8250000,NA,NA
44,Deutsche Bank Championship,2015-09-04T00:00:00,2015-09-07T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC Boston,"Norton, MA",71,7242,NA,NA,NA,NA,8250000,NA,NA
25,The Barclays,2015-08-27T00:00:00,2015-08-30T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Plainfield CC,"Edison, NJ",70,7012,NA,NA,NA,NA,8250000,NA,NA
20,Wyndham Championship,2015-08-20T00:00:00,2015-08-23T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Sedgefield CC,"Greensboro, NC",70,7127,NA,NA,NA,NA,5400000,NA,NA
32,PGA Championship,2015-08-13T00:00:00,2015-08-16T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Whistling Straits,"Kohler, WI",72,7507,NA,NA,NA,NA,10000000,NA,NA
33,World Golf Championships-Bridgestone Invitational,2015-08-06T00:00:00,2015-08-09T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Firestone CC (South),"Akron, OH",70,7400,NA,NA,NA,NA,9250000,NA,NA
